name,sub_name,sub_name_sub,roman,sub_roman
北海道,ほっかいどう,ほっかいどう,Hokkaido,Hokkaido
札幌市,さっぽろし,さっぽろ,Sapporo,Sapporo
中央区,ちゅうおうく,ちゅうおう,Chuo,Tyuo
北区,きたく,きた,Kita,Kita
東区,ひがしく,ひがし,Higashi,Higasi
白石区,しろいしく,しろいし,Shiroishi,Siroisi
豊平区,とよひらく,とよひら,Toyohira,Toyohira
南区,みなみく,みなみ,Minami,Minami
西区,にしく,にし,Nishi,Nisi
厚別区,あつべつく,あつべつ,Atsubetsu,Atubetu
手稲区,ていねく,ていね,Teine,Teine
清田区,きよたく,きよた,Kiyota,Kiyota
函館市,はこだてし,はこだて,Hakodate,Hakodate
小樽市,おたるし,おたる,Otaru,Otaru
旭川市,あさひかわし,あさひかわ,Asahikawa,Asahikawa
室蘭市,むろらんし,むろらん,Muroran,Muroran
釧路市,くしろし,くしろ,Kushiro,Kusiro
帯広市,おびひろし,おびひろ,Obihiro,Obihiro
北見市,きたみし,きたみ,Kitami,Kitami
夕張市,ゆうばりし,ゆうばり,Yubari,Yubari
岩見沢市,いわみざわし,いわみざわ,Iwamizawa,Iwamizawa
網走市,あばしりし,あばしり,Abashiri,Abasiri
留萌市,るもいし,るもい,Rumoi,Rumoi
苫小牧市,とまこまいし,とまこまい,Tomakomai,Tomakomai
稚内市,わっかないし,わっかない,Wakkanai,Wakkanai
美唄市,びばいし,びばい,Bibai,Bibai
芦別市,あしべつし,あしべつ,Ashibetsu,Asibetu
江別市,えべつし,えべつ,Ebetsu,Ebetu
赤平市,あかびらし,あかびら,Akabira,Akabira
紋別市,もんべつし,もんべつ,Monbetsu,Monbetu
士別市,しべつし,しべつ,Shibetsu,Sibetu
名寄市,なよろし,なよろ,Nayoro,Nayoro
三笠市,みかさし,みかさ,Mikasa,Mikasa
根室市,ねむろし,ねむろ,Nemuro,Nemuro
千歳市,ちとせし,ちとせ,Chitose,Titose
滝川市,たきかわし,たきかわ,Takikawa,Takikawa
砂川市,すながわし,すながわ,Sunagawa,Sunagawa
歌志内市,うたしないし,うたしない,Utashinai,Utasinai
深川市,ふかがわし,ふかがわ,Fukagawa,Hukagawa
富良野市,ふらのし,ふらの,Furano,Hurano
登別市,のぼりべつし,のぼりべつ,Noboribetsu,Noboribetu
恵庭市,えにわし,えにわ,Eniwa,Eniwa
伊達市,だてし,だて,Date,Date
北広島市,きたひろしまし,きたひろしま,Kitahiroshima,Kitahirosima
石狩市,いしかりし,いしかり,Ishikari,Isikari
北斗市,ほくとし,ほくと,Hokuto,Hokuto
石狩振興局,いしかりしんこうきょく,いしかり,Ishikari,Isikari
当別町,とうべつちょう,とうべつ,Tobetsu,Tobetu
新篠津村,しんしのつむら,しんしのつ,Shinshinotsu,Sinsinotu
渡島総合振興局,おしまそうごうしんこうきょく,おしま,Oshima,Osima
松前町,まつまえちょう,まつまえ,Matsumae,Matumae
福島町,ふくしまちょう,ふくしま,Fukushima,Hukusima
知内町,しりうちちょう,しりうち,Shiriuchi,Siriuti
木古内町,きこないちょう,きこない,Kikonai,Kikonai
七飯町,ななえちょう,ななえ,Nanae,Nanae
鹿部町,しかべちょう,しかべ,Shikabe,Sikabe
森町,もりまち,もり,Mori,Mori
八雲町,やくもちょう,やくも,Yakumo,Yakumo
長万部町,おしゃまんべちょう,おしゃまんべ,Oshamanbe,Osyamanbe
檜山振興局,ひやましんこうきょく,ひやま,Hiyama,Hiyama
江差町,えさしちょう,えさし,Esashi,Esasi
上ノ国町,かみのくにちょう,かみのくに,Kaminokuni,Kaminokuni
厚沢部町,あっさぶちょう,あっさぶ,Assabu,Assabu
乙部町,おとべちょう,おとべ,Otobe,Otobe
奥尻町,おくしりちょう,おくしり,Okushiri,Okusiri
今金町,いまかねちょう,いまかね,Imakane,Imakane
せたな町,せたなちょう,せたな,Setana,Setana
後志総合振興局,しりべしそうごうしんこうきょく,しりべし,Shiribeshi,Siribesi
島牧村,しままきむら,しままき,Shimamaki,Simamaki
寿都町,すっつちょう,すっつ,Suttsu,Suttu
黒松内町,くろまつないちょう,くろまつない,Kuromatsunai,Kuromatunai
蘭越町,らんこしちょう,らんこし,Rankoshi,Rankosi
ニセコ町,にせこちょう,にせこ,Niseko,Niseko
真狩村,まっかりむら,まっかり,Makkari,Makkari
留寿都村,るすつむら,るすつ,Rusutsu,Rusutu
喜茂別町,きもべつちょう,きもべつ,Kimobetsu,Kimobetu
京極町,きょうごくちょう,きょうごく,Kyogoku,Kyogoku
倶知安町,くっちゃんちょう,くっちゃん,Kutchan,Kuttyan
共和町,きょうわちょう,きょうわ,Kyowa,Kyowa
岩内町,いわないちょう,いわない,Iwanai,Iwanai
泊村,とまりむら,とまり,Tomari,Tomari
神恵内村,かもえないむら,かもえない,Kamoenai,Kamoenai
積丹町,しゃこたんちょう,しゃこたん,Shakotan,Syakotan
古平町,ふるびらちょう,ふるびら,Furubira,Hurubira
仁木町,にきちょう,にき,Niki,Niki
余市町,よいちちょう,よいち,Yoichi,Yoiti
赤井川村,あかいがわむら,あかいがわ,Akaigawa,Akaigawa
空知総合振興局,そらちそうごうしんこうきょく,そらち,Sorachi,Sorati
南幌町,なんぽろちょう,なんぽろ,Nanporo,Nanporo
奈井江町,ないえちょう,ないえ,Naie,Naie
上砂川町,かみすながわちょう,かみすながわ,Kamisunagawa,Kamisunagawa
由仁町,ゆにちょう,ゆに,Yuni,Yuni
長沼町,ながぬまちょう,ながぬま,Naganuma,Naganuma
栗山町,くりやまちょう,くりやま,Kuriyama,Kuriyama
月形町,つきがたちょう,つきがた,Tsukigata,Tukigata
浦臼町,うらうすちょう,うらうす,Urausu,Urausu
新十津川町,しんとつかわちょう,しんとつかわ,Shintotsukawa,Sintotukawa
妹背牛町,もせうしちょう,もせうし,Moseushi,Moseusi
秩父別町,ちっぷべつちょう,ちっぷべつ,Chippubetsu,Tippubetu
雨竜町,うりゅうちょう,うりゅう,Uryu,Uryu
北竜町,ほくりゅうちょう,ほくりゅう,Hokuryu,Hokuryu
沼田町,ぬまたちょう,ぬまた,Numata,Numata
上川総合振興局,かみかわそうごうしんこうきょく,かみかわ,Kamikawa,Kamikawa
鷹栖町,たかすちょう,たかす,Takasu,Takasu
東神楽町,ひがしかぐらちょう,ひがしかぐら,Higashikagura,Higasikagura
当麻町,とうまちょう,とうま,Toma,Toma
比布町,ぴっぷちょう,ぴっぷ,Pippu,Pippu
愛別町,あいベつちょう,あいベつ,Aibetsu,Aibetu
上川町,かみかわちょう,かみかわ,Kamikawa,Kamikawa
東川町,ひがしかわちょう,ひがしかわ,Higashikawa,Higasikawa
美瑛町,びえいちょう,びえい,Biei,Biei
上富良野町,かみふらのちょう,かみふらの,Kamifurano,Kamihurano
中富良野町,なかふらのちょう,なかふらの,Nakafurano,Nakahurano
南富良野町,みなみふらのちょう,みなみふらの,Minamifurano,Minamihurano
占冠村,しむかっぷむら,しむかっぷ,Shimukappu,Simukappu
和寒町,わっさむちょう,わっさむ,Wassamu,Wassamu
剣淵町,けんぶちちょう,けんぶち,Kenbuchi,Kenbuti
下川町,しもかわちょう,しもかわ,Shimokawa,Simokawa
美深町,びふかちょう,びふか,Bifuka,Bihuka
音威子府村,おといねっぷむら,おといねっぷ,Otoineppu,Otoineppu
中川町,なかがわちょう,なかがわ,Nakagawa,Nakagawa
幌加内町,ほろかないちょう,ほろかない,Horokanai,Horokanai
留萌振興局,るもいしんこうきょく,るもい,Rumoi,Rumoi
増毛町,ましけちょう,ましけ,Mashike,Masike
小平町,おびらちょう,おびら,Obira,Obira
苫前町,とままえちょう,とままえ,Tomamae,Tomamae
羽幌町,はぼろちょう,はぼろ,Haboro,Haboro
初山別村,しょさんべつむら,しょさんべつ,Shosanbetsu,Syosanbetu
遠別町,えんべつちょう,えんべつ,Enbetsu,Enbetu
天塩町,てしおちょう,てしお,Teshio,Tesio
宗谷総合振興局,そうやそうごうしんこうきょく,そうや,Soya,Soya
猿払村,さるふつむら,さるふつ,Sarufutsu,Saruhutu
浜頓別町,はまとんべつちょう,はまとんべつ,Hamatonbetsu,Hamatonbetu
中頓別町,なかとんべつちょう,なかとんべつ,Nakatonbetsu,Nakatonbetu
枝幸町,えさしちょう,えさし,Esashi,Esasi
豊富町,とよとみちょう,とよとみ,Toyotomi,Toyotomi
礼文町,れぶんちょう,れぶん,Rebun,Rebun
利尻町,りしりちょう,りしり,Rishiri,Risiri
利尻富士町,りしりふじちょう,りしりふじ,Rishirifuji,Risirihuzi
幌延町,ほろのべちょう,ほろのべ,Horonobe,Horonobe
オホーツク総合振興局,おほーつくそうごうしんこうきょく,おほーつく,Ohotsuku,Ohotuku
美幌町,びほろちょう,びほろ,Bihoro,Bihoro
津別町,つべつちょう,つべつ,Tsubetsu,Tubetu
斜里町,しゃりちょう,しゃり,Shari,Syari
清里町,きよさとちょう,きよさと,Kiyosato,Kiyosato
小清水町,こしみずちょう,こしみず,Koshimizu,Kosimizu
訓子府町,くんねっぷちょう,くんねっぷ,Kunneppu,Kunneppu
置戸町,おけとちょう,おけと,Oketo,Oketo
佐呂間町,さろまちょう,さろま,Saroma,Saroma
遠軽町,えんがるちょう,えんがる,Engaru,Engaru
湧別町,ゆうべつちょう,ゆうべつ,Yubetsu,Yubetu
滝上町,たきのうえちょう,たきのうえ,Takinoue,Takinoue
興部町,おこっぺちょう,おこっぺ,Okoppe,Okoppe
西興部村,にしおこっぺむら,にしおこっぺ,Nishiokoppe,Nisiokoppe
雄武町,おうむちょう,おうむ,Omu,omu
大空町,おおぞらちょう,おおぞら,Ozora,ozora
胆振総合振興局,いぶりそうごうしんこうきょく,いぶり,Iburi,Iburi
豊浦町,とようらちょう,とようら,Toyoura,Toyoura
壮瞥町,そうべつちょう,そうべつ,Sobetsu,Sobetu
白老町,しらおいちょう,しらおい,Shiraoi,Siraoi
厚真町,あつまちょう,あつま,Atsuma,Atuma
洞爺湖町,とうやこちょう,とうやこ,Toyako,Toyako
安平町,あびらちょう,あびら,Abira,Abira
むかわ町,むかわちょう,むかわ,Mukawa,Mukawa
日高振興局,ひだかしんこうきょく,ひだか,Hidaka,Hidaka
日高町,ひだかちょう,ひだか,Hidaka,Hidaka
平取町,びらとりちょう,びらとり,Biratori,Biratori
新冠町,にいかっぷちょう,にいかっぷ,Niikappu,Niikappu
浦河町,うらかわちょう,うらかわ,Urakawa,Urakawa
様似町,さまにちょう,さまに,Samani,Samani
えりも町,えりもちょう,えりも,Erimo,Erimo
新ひだか町,しんひだかちょう,しんひだか,Shinhidaka,Sinhidaka
十勝総合振興局,とかちそうごうしんこうきょく,とかち,Tokachi,Tokati
音更町,おとふけちょう,おとふけ,Otofuke,Otohuke
士幌町,しほろちょう,しほろ,Shihoro,Sihoro
上士幌町,かみしほろちょう,かみしほろ,Kamishihoro,Kamisihoro
鹿追町,しかおいちょう,しかおい,Shikaoi,Sikaoi
新得町,しんとくちょう,しんとく,Shintoku,Sintoku
清水町,しみずちょう,しみず,Shimizu,Simizu
芽室町,めむろちょう,めむろ,Memuro,Memuro
中札内村,なかさつないむら,なかさつない,Nakasatsunai,Nakasatunai
更別村,さらべつむら,さらべつ,Sarabetsu,Sarabetu
大樹町,たいきちょう,たいき,Taiki,Taiki
広尾町,ひろおちょう,ひろお,Hiroo,Hiroo
幕別町,まくべつちょう,まくべつ,Makubetsu,Makubetu
池田町,いけだちょう,いけだ,Ikeda,Ikeda
豊頃町,とよころちょう,とよころ,Toyokoro,Toyokoro
本別町,ほんべつちょう,ほんべつ,Honbetsu,Honbetu
足寄町,あしょろちょう,あしょろ,Ashoro,Asyoro
陸別町,りくべつちょう,りくべつ,Rikubetsu,Rikubetu
浦幌町,うらほろちょう,うらほろ,Urahoro,Urahoro
釧路総合振興局,くしろそうごうしんこうきょく,くしろ,Kushiro,Kusiro
釧路町,くしろちょう,くしろ,Kushiro,Kusiro
厚岸町,あっけしちょう,あっけし,Akkeshi,Akkesi
浜中町,はまなかちょう,はまなか,Hamanaka,Hamanaka
標茶町,しべちゃちょう,しべちゃ,Shibecha,Sibetya
弟子屈町,てしかがちょう,てしかが,Teshikaga,Tesikaga
鶴居村,つるいむら,つるい,Tsurui,Turui
白糠町,しらぬかちょう,しらぬか,Shiranuka,Siranuka
根室振興局,ねむろしんこうきょく,ねむろ,Nemuro,Nemuro
別海町,べっかいちょう,べっかい,Bekkai,Bekkai
中標津町,なかしべつちょう,なかしべつ,Nakashibetsu,Nakasibetu
標津町,しべつちょう,しべつ,Shibetsu,Sibetu
羅臼町,らうすちょう,らうす,Rausu,Rausu
色丹村,しこたんむら,しこたん,Shikotan,Sikotan
泊村,とまりむら,とまり,Tomari,Tomari
留夜別村,るよべつむら,るよべつ,Ruyobetsu,Ruyobetu
留別村,るべつむら,るべつ,Rubetsu,Rubetu
紗那村,しゃなむら,しゃな,Shana,Syana
蘂取村,しべとろむら,しべとろ,Shibetoro,Sibetoro
青森県,あおもりけん,あおもり,Aomori,Aomori
青森市,あおもりし,あおもり,Aomori,Aomori
弘前市,ひろさきし,ひろさき,Hirosaki,Hirosaki
八戸市,はちのへし,はちのへ,Hachinohe,Hatinohe
黒石市,くろいしし,くろいし,Kuroishi,Kuroisi
五所川原市,ごしょがわらし,ごしょがわら,Goshogawara,Gosyogawara
十和田市,とわだし,とわだ,Towada,Towada
三沢市,みさわし,みさわ,Misawa,Misawa
むつ市,むつし,むつ,Mutsu,Mutu
つがる市,つがるし,つがる,Tsugaru,Tugaru
平川市,ひらかわし,ひらかわ,Hirakawa,Hirakawa
